HS2,HS2 ID,Section,Section ID,Trade Value,Year
Ceramic products,1369,Stone And Glass,13,4664443,2015
Glass & glassware,1370,Stone And Glass,13,14836512,2015
"Precious stones, metals, & pearls",1471,Precious Metals,14,31325260,2015
Iron & steel,1572,Metals,15,112450365,2015
Iron or steel articles,1573,Metals,15,63508599,2015
Copper articles,1574,Metals,15,28705828,2015
Nickel articles,1575,Metals,15,17858,2015
Aluminum articles,1576,Metals,15,39285061,2015
Lead articles,1578,Metals,15,1391584,2015
Zinc articles,1579,Metals,15,2410839,2015
Tin articles,1580,Metals,15,196102,2015
Cermet articles,1581,Metals,15,30617,2015
Tools & cutlery,1582,Metals,15,5038540,2015
Miscellaneous metal products,1583,Metals,15,21262139,2015
"Machinery, mechanical appliances, & parts",1684,Machines,16,97081888,2015
Electrical machinery and electronics,1685,Machines,16,100216851,2015
Railway and trams,1786,Transportation,17,1113006,2015
"Cars, tractors, trucks & parts thereof.",1787,Transportation,17,73339025,2015
Aircraft and spacecraft,1788,Transportation,17,27220254,2015
"Ships, boats, & floating structures",1789,Transportation,17,4715629,2015
"Optical, photo, & film equipment; medical instruments",1890,Instruments,18,27135194,2015
"Clocks, watches, & parts",1891,Instruments,18,474994,2015
Musical instruments,1892,Instruments,18,446161,2015
Weapons,1993,Weapons,19,583460,2015
"Furniture, bedding, lamps, & prefab buildings",2094,Miscellaneous,20,34308830,2015
"Toys, games, & sports",2095,Miscellaneous,20,15374093,2015
Misc. manufactures,2096,Miscellaneous,20,16566268,2015
Art & antiques,2197,Arts and Antiques,21,1421631,2015
Live animals,101,Animal Products,1,5375682,2016
Meat & edible offal,102,Animal Products,1,36200642,2016
"Fish, crustaceans, & molluscs",103,Animal Products,1,53167373,2016
"Edible products of animal origin, n.e.s.",104,Animal Products,1,4803210,2016
"Animal originated products, n.e.s.",105,Animal Products,1,2228999,2016
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Vegetable Products,2,584720997,2016
"Edible vegetables, roots, & tubers",207,Vegetable Products,2,243019569,2016
"Edible fruits, nuts & fruit peels",208,Vegetable Products,2,162981700,2016
"Coffee, tea, mate & spices",209,Vegetable Products,2,1508759659,2016
Cereals,210,Vegetable Products,2,29740140,2016
Products of the milling industry,211,Vegetable Products,2,4180788,2016
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Vegetable Products,2,30552387,2016
"Natural gums, resins & other vegetable extracts",213,Vegetable Products,2,7009459,2016
