"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Mineral fuels, mineral oils and products of their distillation",527,"Crude Petroleum",52709,"Mineral Products",5,150187,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Refined Petroleum",52710,"Mineral Products",5,3259037841,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Gas",52711,"Mineral Products",5,50888945,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Jelly",52712,"Mineral Products",5,21611461,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Coke",52713,"Mineral Products",5,13654527,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Bitumen and asphalt",52714,"Mineral Products",5,6640307,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt Mixtures",52715,"Mineral Products",5,658028,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Electricity",52716,"Mineral Products",5,10206707,2012
"Inorganic chemicals",628,"Halogens",62801,"Chemical Products",6,676525.0000000001,2012
"Inorganic chemicals",628,"Sulfur",62802,"Chemical Products",6,176147,2012
"Inorganic chemicals",628,"Carbon",62803,"Chemical Products",6,4608546,2012
"Inorganic chemicals",628,"Hydrogen",62804,"Chemical Products",6,1135453,2012
"Inorganic chemicals",628,"Alkaline Metals",62805,"Chemical Products",6,5327969,2012
"Inorganic chemicals",628,"Hydrochloric Acid",62806,"Chemical Products",6,491445,2012
"Inorganic chemicals",628,"Sulfuric Acid",62807,"Chemical Products",6,195917,2012
"Inorganic chemicals",628,"Nitric Acids",62808,"Chemical Products",6,774096,2012
"Inorganic chemicals",628,"Phosphoric Acid",62809,"Chemical Products",6,1657224,2012
"Inorganic chemicals",628,"Boron",62810,"Chemical Products",6,92356.00000000001,2012
"Inorganic chemicals",628,"Other Inorganic Acids",62811,"Chemical Products",6,1632785,2012
"Inorganic chemicals",628,"Halides",62812,"Chemical Products",6,71243,2012
"Inorganic chemicals",628,"Nonmetal Sulfides",62813,"Chemical Products",6,492.00000000000006,2012
"Inorganic chemicals",628,"Ammonia",62814,"Chemical Products",6,130117,2012
"Inorganic chemicals",628,"Sodium or Potassium Peroxides",62815,"Chemical Products",6,11803016,2012
"Inorganic chemicals",628,"Magnesium Hydroxide and Peroxide",62816,"Chemical Products",6,117826,2012
"Inorganic chemicals",628,"Zinc Oxide and Peroxide",62817,"Chemical Products",6,218240,2012
"Inorganic chemicals",628,"Aluminium Oxide",62818,"Chemical Products",6,1170701,2012
"Inorganic chemicals",628,"Chromium Oxides and Hydroxides",62819,"Chemical Products",6,75206,2012
"Inorganic chemicals",628,"Manganese Oxides",62820,"Chemical Products",6,660043,2012
"Inorganic chemicals",628,"Iron Oxides and Hydroxides",62821,"Chemical Products",6,2065114,2012
"Inorganic chemicals",628,"Cobalt Oxides and Hydroxides",62822,"Chemical Products",6,11030.999999999998,2012
"Inorganic chemicals",628,"Titanium Oxides",62823,"Chemical Products",6,646620,2012
"Inorganic chemicals",628,"Lead Oxides",62824,"Chemical Products",6,863,2012
"Inorganic chemicals",628,"Inorganic Salts",62825,"Chemical Products",6,388361,2012
"Inorganic chemicals",628,"Fluorides",62826,"Chemical Products",6,255258,2012
"Inorganic chemicals",628,"Chlorides",62827,"Chemical Products",6,2548626,2012
"Inorganic chemicals",628,"Hypochlorites",62828,"Chemical Products",6,2910845,2012
"Inorganic chemicals",628,"Chlorates and Perchlorates",62829,"Chemical Products",6,1277621,2012
"Inorganic chemicals",628,"Sulfides",62830,"Chemical Products",6,356403,2012
"Inorganic chemicals",628,"Dithionites and Sulfoxylates",62831,"Chemical Products",6,378693,2012
"Inorganic chemicals",628,"Sulfites",62832,"Chemical Products",6,845043.9999999999,2012
"Inorganic chemicals",628,"Sulfates",62833,"Chemical Products",6,9912610,2012
"Inorganic chemicals",628,"Nitrites and Nitrates",62834,"Chemical Products",6,5881263,2012
"Inorganic chemicals",628,"Phosphinates (hypophosphites) and phosphonates (phosphites)",62835,"Chemical Products",6,10980696,2012
"Inorganic chemicals",628,"Carbonates",62836,"Chemical Products",6,6372953,2012
"Inorganic chemicals",628,"Cyanides",62837,"Chemical Products",6,529,2012
